-17.189;-34.3779;-inf;5.04422e+06
-17.3464;-34.6927;-inf;5.04449e+06
-17.3684;-34.7369;-inf;5.04453e+06
-17.4607;-34.9215;-inf;5.04457e+06
-17.5018;-35.0036;-inf;5.04461e+06
-17.6029;-35.2057;-inf;5.04468e+06
-17.9464;-35.8928;-inf;5.04505e+06
-18.0732;-36.1465;-inf;5.04514e+06
-18.1484;-36.2969;-inf;5.04532e+06
-18.2329;-36.4659;-inf;5.04537e+06
-18.4607;-36.9214;-inf;5.04557e+06
-18.5723;-37.1446;-inf;5.04561e+06
-18.6325;-37.2649;-inf;5.04568e+06
-18.7021;-37.4041;-inf;5.04581e+06
-18.8515;-37.703;-inf;5.04591e+06
-18.7981;-37.5963;-inf;5.04596e+06
-18.9265;-37.853;-inf;5.046e+06
-18.9491;-37.8983;-inf;5.04616e+06
-19.086;-38.1721;-inf;5.0462e+06
-19.0102;-38.0204;-inf;5.0463e+06
-18.9854;-37.9708;-inf;5.0464e+06
-19.0616;-38.1231;-inf;5.04647e+06
-19.0765;-38.1531;-inf;5.04656e+06
-19.1216;-38.2432;-inf;5.0466e+06
-19.1863;-38.3726;-inf;5.04667e+06
-19.2302;-38.4605;-inf;5.04671e+06
-19.2033;-38.4065;-inf;5.04684e+06
-19.4639;-38.9277;-inf;5.0472e+06
-19.4949;-38.9899;-inf;5.04727e+06
-19.566;-39.132;-inf;5.04746e+06
-19.6061;-39.2123;-inf;5.04758e+06
-19.6761;-39.3522;-inf;5.04762e+06
-19.7856;-39.5712;-inf;5.04767e+06
-19.7531;-39.5062;-inf;5.04771e+06
-19.741;-39.482;-inf;5.04795e+06
-19.7492;-39.4984;-inf;5.04799e+06
-19.7875;-39.575;-inf;5.04803e+06
-20.0335;-40.067;-inf;5.04814e+06
-20.079;-40.1581;-inf;5.04818e+06
-20.2495;-40.4989;-inf;5.0483e+06
-20.3953;-40.7905;-inf;5.04841e+06
-20.6292;-41.2583;-inf;5.04852e+06
-20.7392;-41.4784;-inf;5.04856e+06
-20.818;-41.6359;-inf;5.04869e+06
-21.0233;-42.0466;-inf;5.04887e+06
-21.044;-42.088;-inf;5.04898e+06
-21.0996;-42.1991;-inf;5.04902e+06
-21.6866;-43.3732;-inf;5.04939e+06
-21.7357;-43.4715;-inf;5.04943e+06
-21.8548;-43.7097;-inf;5.04947e+06
-21.9728;-43.9455;-inf;5.04951e+06
-22.0895;-44.179;-inf;5.04961e+06
-22.2289;-44.4578;-inf;5.04985e+06
-22.3193;-44.6385;-inf;5.05004e+06
-22.3655;-44.7309;-inf;5.05028e+06
-22.2971;-44.5941;-inf;5.05038e+06
-22.4106;-44.8212;-inf;5.05046e+06
-22.5531;-45.1063;-inf;5.0505e+06
-22.7036;-45.4072;-inf;5.05058e+06
-22.8514;-45.7029;-inf;5.05073e+06
-22.8972;-45.7945;-inf;5.0509e+06
-22.9242;-45.8484;-inf;5.05097e+06
-22.9006;-45.8011;-inf;5.05104e+06
-22.9742;-45.9483;-inf;5.05121e+06
-22.8896;-45.7793;-inf;5.05126e+06
